record_id,annotator_a,annotator_b,skill_name_a,skill_name_b,label_a,label_b,category_a,category_b,error_type,source_text_a,source_text_b
12,llm,human_a,OS Scheduler,OS Scheduler,preferred_skill,preferred_skill,Other,Embedded & Firmware,category_disagreement,"OS Scheduler, Pre-emptive, Round robin & Cooperative scheduling",
12,llm,human_a,Pre-emptive,Pre-emptive scheduling,preferred_skill,preferred_skill,Other,Engineering Concepts & Methodologies,category_disagreement,"OS Scheduler, Pre-emptive, Round robin & Cooperative scheduling",
12,llm,human_a,Round robin,Round robin,preferred_skill,preferred_skill,Other,Engineering Concepts & Methodologies,category_disagreement,"OS Scheduler, Pre-emptive, Round robin & Cooperative scheduling",
12,llm,human_a,Cooperative scheduling,Cooperative scheduling,preferred_skill,preferred_skill,Other,Engineering Concepts & Methodologies,category_disagreement,"OS Scheduler, Pre-emptive, Round robin & Cooperative scheduling",
12,llm,human_a,Tessy,Tessy,preferred_skill,preferred_skill,Embedded & Firmware,Tool & Platform,category_disagreement,Unit Testing (Tessy & RTRT),
12,llm,human_a,RTRT,RTRT,preferred_skill,preferred_skill,Embedded & Firmware,Tool & Platform,category_disagreement,Unit Testing (Tessy & RTRT),
12,llm,human_a,Test Automation,Test Automation,preferred_skill,preferred_skill,Testing & QA,Programming Language,category_disagreement,Exposure to Test Automation scripting tools,
12,llm,human_a,ECU Test,ECU Test,preferred_skill,preferred_skill,Embedded & Firmware,Tool & Platform,category_disagreement,(Python & Perl) ECU Test & LabCar,
12,llm,human_a,LabCar,LabCar,preferred_skill,preferred_skill,Embedded & Firmware,Tool & Platform,category_disagreement,(Python & Perl) ECU Test & LabCar,
12,llm,human_a,ISO14229,ISO14229,preferred_skill,preferred_skill,Other,Domain Knowledge,category_disagreement,"Knowledge on CAN, ISO14229, ISO26262, J1939 & UDS standards",
12,llm,human_a,ISO26262,ISO26262,preferred_skill,preferred_skill,Other,Domain Knowledge,category_disagreement,"Knowledge on CAN, ISO14229, ISO26262, J1939 & UDS standards",
12,llm,human_a,J1939,J1939,preferred_skill,preferred_skill,Other,Domain Knowledge,category_disagreement,"Knowledge on CAN, ISO14229, ISO26262, J1939 & UDS standards",
12,llm,human_a,UDS,UDS,preferred_skill,preferred_skill,Other,Domain Knowledge,category_disagreement,"Knowledge on CAN, ISO14229, ISO26262, J1939 & UDS standards",
12,llm,human_a,MISRA 2004,MISRA 2004,preferred_skill,preferred_skill,Other,Engineering Concepts & Methodologies,category_disagreement,MISRA 2004 and 2012 Coding guidelines,
12,llm,human_a,PC-lint,PC-lint,preferred_skill,preferred_skill,Embedded & Firmware,Tool & Platform,category_disagreement,"guidelines (PC-lint, LDRA & PRQA)",
12,llm,human_a,LDRA,LDRA,preferred_skill,preferred_skill,Embedded & Firmware,Tool & Platform,category_disagreement,"guidelines (PC-lint, LDRA & PRQA)",
12,llm,human_a,PRQA,PRQA,preferred_skill,preferred_skill,Embedded & Firmware,Tool & Platform,category_disagreement,"guidelines (PC-lint, LDRA & PRQA)",
12,llm,human_a,V-model,V-model,preferred_skill,preferred_skill,Other,Engineering Concepts & Methodologies,category_disagreement,Knowledge & experience in V-model and development process,
12,llm,human_a,SDLC,SDLC,preferred_skill,preferred_skill,Other,Engineering Concepts & Methodologies,category_disagreement,SDLC and Software Development Models (Water Fall/ Agile),
12,llm,human_a,English,English,preferred_skill,required_skill,Soft Skill,Soft Skill,label_disagreement,Good English language skills,
13,llm,human_a,Web development,,required_skill,,Domain Knowledge,,llm_hallucination,Từ 5 năm kinh nghiệm Web development,
13,llm,human_a,Frontend,,required_skill,,Domain Knowledge,,llm_hallucination,ít nhất 3 năm chuyên sâu Frontend (React/Next.js),
13,llm,human_a,kiến trúc Frontend hiện đại,,required_skill,,Engineering Concepts & Methodologies,,llm_hallucination,"kiến trúc Frontend hiện đại (SPA, SSR, edge rendering)",
13,llm,human_a,Node.js,,required_skill,,Framework / Library,,llm_hallucination,"Thành thạo Node.js, Cloudflare Workers, REST/WebSocket/SSE",
13,llm,human_a,REST,,required_skill,,Engineering Concepts & Methodologies,,llm_hallucination,"Thành thạo Node.js, Cloudflare Workers, REST/WebSocket/SSE",
13,llm,human_a,,"Node.js,",,required_skill,,Framework / Library,llm_omission,,
13,llm,human_a,real-time applications,real-time applications,preferred_skill,preferred_skill,Domain Knowledge,Other,category_disagreement,Ưu tiên kinh nghiệm xây dựng AI interfaces hoặc real-time applications,
13,llm,human_a,TypeScript,TypeScript,required_skill,preferred_skill,Programming Language,Programming Language,label_disagreement,"Kinh nghiệm làm việc chuyên sâu với React/Next.js, TypeScript",
13,llm,human_a,SPA,SPA,required_skill,preferred_skill,Engineering Concepts & Methodologies,Engineering Concepts & Methodologies,label_disagreement,"kiến trúc Frontend hiện đại (SPA, SSR, edge rendering)",
13,llm,human_a,SSR,SSR,required_skill,preferred_skill,Engineering Concepts & Methodologies,Engineering Concepts & Methodologies,label_disagreement,"kiến trúc Frontend hiện đại (SPA, SSR, edge rendering)",
13,llm,human_a,edge rendering,edge rendering,required_skill,preferred_skill,Engineering Concepts & Methodologies,Engineering Concepts & Methodologies,label_disagreement,"kiến trúc Frontend hiện đại (SPA, SSR, edge rendering)",
13,llm,human_a,Playwright,Playwright,preferred_skill,preferred_skill,Testing & QA,Tool & Platform,category_disagreement,Playwright/Cypress (lợi thế),
13,llm,human_a,Cypress,Cypress,preferred_skill,preferred_skill,Testing & QA,Tool & Platform,category_disagreement,Playwright/Cypress (lợi thế),
14,llm,human_a,fullstack,,required_skill,,Engineering Concepts & Methodologies,,llm_hallucination,Yêu cầu từ 1 năm kinh nghiệm ở vị trí fullstack,
15,llm,human_a,Casual Puzzle,,required_skill,,Domain Knowledge,,llm_hallucination,đặc biệt là dòng Puzzle/Casual Puzzle/Hybrid Puzzle,
15,llm,human_a,Hybrid Puzzle,,required_skill,,Domain Knowledge,,llm_hallucination,đặc biệt là dòng Puzzle/Casual Puzzle/Hybrid Puzzle,
15,llm,human_a,bóc tách gameplay,bóc tách gameplay,required_skill,required_skill,Engineering Concepts & Methodologies,Domain Knowledge,category_disagreement,bóc tách gameplay rõ ràng,
15,llm,human_a,viết tài liệu,viết tài liệu,required_skill,required_skill,Engineering Concepts & Methodologies,Soft Skill,category_disagreement,viết tài liệu và giao tiếp rõ ràng với team,
16,llm,human_a,game mobile,,required_skill,,Domain Knowledge,,llm_hallucination,tối thiểu 1 game mobile đã release global,
16,llm,human_a,Idle,,required_skill,,Domain Knowledge,,llm_hallucination,Đam mê làm Idle/RPG,
16,llm,human_a,RPG,,required_skill,,Domain Knowledge,,llm_hallucination,Đam mê làm Idle/RPG,
16,llm,human_a,backend,,required_skill,,Engineering Concepts & Methodologies,,llm_hallucination,Kinh nghiệm backend,
16,llm,human_a,Go,,required_skill,,Programming Language,,llm_hallucination,"Kinh nghiệm backend (Node.js/TS, Go, .NET...)",
16,llm,human_a,.NET,,required_skill,,Framework / Library,,llm_hallucination,"Kinh nghiệm backend (...Go, .NET, hoặc Firebase/PlayFab)",
16,llm,human_a,,Idle/RPG,,required_skill,,Domain Knowledge,llm_omission,,
16,llm,human_a,Addressables asset management,Addressables asset management,required_skill,required_skill,Framework / Library,Tool & Platform,category_disagreement,Kiến thức vững về: - Addressables asset management,
16,llm,human_a,UI Toolkit,UI Toolkit,required_skill,required_skill,Framework / Library,Tool & Platform,category_disagreement,"Kiến thức vững về: - Game systems, UI Toolkit/UGUI.",
16,llm,human_a,UGUI,UGUI,required_skill,required_skill,Framework / Library,Tool & Platform,category_disagreement,"Kiến thức vững về: - Game systems, UI Toolkit/UGUI.",
16,llm,human_a,PlayFab,PlayFab,required_skill,required_skill,Tool & Platform,Infrastructure & DevOps,category_disagreement,Kinh nghiệm backend (...Firebase/PlayFab),
17,llm,human_a,IT Support,,required_skill,,IT Support & Hardware,,llm_hallucination,2 năm kinh nghiệm IT Support/Helpdesk,
17,llm,human_a,Helpdesk,,required_skill,,IT Support & Hardware,,llm_hallucination,2 năm kinh nghiệm IT Support/Helpdesk,
17,llm,human_a,,hỗ trợ user,,required_skill,,Soft Skill,llm_omission,,
17,llm,human_a,Tiếng anh giao tiếp,Tiếng Anh,preferred_skill,required_skill,Soft Skill,Soft Skill,label_disagreement,"Tiếng anh giao tiếp (ưu tiên nghe, nói tốt)",
18,llm,human_a,,xử lý sự cố,,required_skill,,Soft Skill,llm_omission,,
18,llm,human_a,,thuyết phục,,required_skill,,Soft Skill,llm_omission,,
18,llm,human_a,,làm việc độc lập,,required_skill,,Soft Skill,llm_omission,,
18,llm,human_a,"phần mềm quản lý bệnh viện, y dược",phần mềm quản lý bệnh viện,preferred_skill,required_skill,Domain Knowledge,Domain Knowledge,label_disagreement,"Ưu tiên có kinh nghiệm làm việc với các hệ thống phần mềm quản lý bệnh viện, y dược.",
19,llm,human_a,collaborative development workflows,,required_skill,,Engineering Concepts & Methodologies,,llm_hallucination,collaborative development workflows,
19,llm,human_a,work in cross-functional teams,,required_skill,,Soft Skill,,llm_hallucination,ability to work in cross-functional teams,
19,llm,human_a,mobile attribution,,preferred_skill,,Engineering Concepts & Methodologies,,llm_hallucination,deep linking and mobile attribution,
19,llm,human_a,,attention to detail,,required_skill,,Soft Skill,llm_omission,,
19,llm,human_a,mobile development,mobile development,required_skill,required_skill,Other,Domain Knowledge,category_disagreement,3+ years of professional mobile development experience,
19,llm,human_a,JSON parsing,JSON parsing,required_skill,required_skill,Engineering Concepts & Methodologies,Other,category_disagreement,"JSON parsing, and asynchronous programming",
19,llm,human_a,audio,audio,preferred_skill,required_skill,Domain Knowledge,Domain Knowledge,label_disagreement,"Hands-on experience with audio, recordings and video streaming",
19,llm,human_a,recordings,recordings,preferred_skill,required_skill,Domain Knowledge,Domain Knowledge,label_disagreement,"Hands-on experience with audio, recordings and video streaming",
19,llm,human_a,video streaming,video streaming,preferred_skill,required_skill,Domain Knowledge,Domain Knowledge,label_disagreement,video streaming technologies,
2,llm,human_a,phân tích và giải quyết vấn đề,,required_skill,,Soft Skill,,llm_hallucination,Có khả năng phân tích và giải quyết vấn đề kỹ thuật tốt,
2,llm,human_a,kiến trúc microservices,,preferred_skill,,Engineering Concepts & Methodologies,,llm_hallucination,Hiểu về Kubernetes và kiến trúc microservices / distributed systems,
2,llm,human_a,,giải quyết vấn đề kỹ thuật,,required_skill,,Soft Skill,llm_omission,,
2,llm,human_a,,microservices,,preferred_skill,,Engineering Concepts & Methodologies,llm_omission,,
2,llm,human_a,schema design,schema design,required_skill,required_skill,Engineering Concepts & Methodologies,Database,category_disagreement,"schema design, indexing, query optimization, transaction handling",
2,llm,human_a,query optimization,query optimization,required_skill,required_skill,Engineering Concepts & Methodologies,Database,category_disagreement,"schema design, indexing, query optimization, transaction handling",
2,llm,human_a,transaction handling,transaction handling,required_skill,required_skill,Engineering Concepts & Methodologies,Database,category_disagreement,"schema design, indexing, query optimization, transaction handling",
2,llm,human_a,pub/sub,pub/sub,required_skill,required_skill,Engineering Concepts & Methodologies,Database,category_disagreement,"Có kinh nghiệm làm việc với Redis (caching, pub/sub, distributed lock)",
2,llm,human_a,distributed lock,distributed lock,required_skill,required_skill,Engineering Concepts & Methodologies,Database,category_disagreement,"Có kinh nghiệm làm việc với Redis (caching, pub/sub, distributed lock)",
2,llm,human_a,Kafka,Kafka,preferred_skill,preferred_skill,Data Engineering & Analytics,Infrastructure & DevOps,category_disagreement,Có kinh nghiệm với Kafka và CDC (Change Data Capture).,
2,llm,human_a,Change Data Capture,CDC (Change Data Capture),preferred_skill,preferred_skill,Data Engineering & Analytics,Infrastructure & DevOps,category_disagreement,Có kinh nghiệm với Kafka và CDC (Change Data Capture).,
2,llm,human_a,xử lý hệ thống có lượng dữ liệu lớn,xử lý hệ thống có lượng dữ liệu lớn,preferred_skill,preferred_skill,Engineering Concepts & Methodologies,Data Engineering & Analytics,category_disagreement,Có kinh nghiệm xử lý hệ thống có lượng dữ liệu lớn.,
2,llm,human_a,giao tiếp,giao tiếp,required_skill,preferred_skill,Soft Skill,Soft Skill,label_disagreement,"Kỹ năng giao tiếp tốt, có khả năng trình bày ý tưởng kỹ thuật rõ ràng",
2,llm,human_a,teamwork,teamwork,required_skill,preferred_skill,Soft Skill,Soft Skill,label_disagreement,"Tinh thần teamwork, hợp tác hiệu quả trong môi trường cross-functional",
2,llm,human_a,problem-solving,problem-solving,required_skill,preferred_skill,Soft Skill,Soft Skill,label_disagreement,"Tư duy problem-solving, chủ động tìm giải pháp và đề xuất cải tiến",
20,llm,human_a,tích hợp hệ thống,tích hợp hệ thống,preferred_skill,preferred_skill,Domain Knowledge,Infrastructure & DevOps,category_disagreement,Ưu tiên các ứng viên đã làm việc trong cộng ty tích hợp hệ thống,
20,llm,human_a,CCNP,CCNP,preferred_skill,preferred_skill,Other,Tool & Platform,category_disagreement,"Ưu tiên... sở hữu chứng chỉ... như CCNP, Security....",
20,llm,human_a,Security,Security,preferred_skill,required_skill,Other,Domain Knowledge,both_disagreement,"Ưu tiên... sở hữu chứng chỉ... như CCNP, Security....",
21,llm,human_a,Presales,,required_skill,,Domain Knowledge,,llm_hallucination,Kinh nghiệm làm việc trong lĩnh vực CNTT ở các vai trò như: Presales,
21,llm,human_a,Tư vấn Kỹ thuật,,required_skill,,Domain Knowledge,,llm_hallucination,"Presales, Tư vấn Kỹ thuật, Quản trị Hệ thống (System Admin)",
21,llm,human_a,System Admin,,required_skill,,Infrastructure & DevOps,,llm_hallucination,Quản trị Hệ thống (System Admin),
21,llm,human_a,Network Engineer,,required_skill,,Infrastructure & DevOps,,llm_hallucination,Kỹ sư Mạng (Network Engineer),
21,llm,human_a,Hỗ trợ Kỹ thuật,,required_skill,,IT Support & Hardware,,llm_hallucination,Hỗ trợ Kỹ thuật (Level 2/3),
21,llm,human_a,ảo hóa,,required_skill,,Infrastructure & DevOps,,llm_hallucination,"triển khai các hệ thống máy chủ, lưu trữ, ảo hóa",
21,llm,human_a,NVIDIA,,preferred_skill,,Tool & Platform,,llm_hallucination,sản phẩm/giải pháp NVIDIA... là một lợi thế rất lớn,
21,llm,human_a,,sản phẩm/giải pháp NVIDIA,,preferred_skill,,Domain Knowledge,llm_omission,,
21,llm,human_a,,thiết bị NAS,,required_skill,,Infrastructure & DevOps,llm_omission,,
21,llm,human_a,,hệ điều hành máy chủ,,required_skill,,Infrastructure & DevOps,llm_omission,,
21,llm,human_a,xây dựng cấu hình,xây dựng cấu hình,preferred_skill,required_skill,Infrastructure & DevOps,Infrastructure & DevOps,label_disagreement,Kinh nghiệm xây dựng cấu hình... là một lợi thế lớn,
21,llm,human_a,tư vấn giải pháp,tư vấn giải pháp,preferred_skill,required_skill,Domain Knowledge,Domain Knowledge,label_disagreement,tư vấn giải pháp cho khách hàng là một lợi thế lớn,
21,llm,human_a,VMware vSphere,VMware vSphere,required_skill,required_skill,Infrastructure & DevOps,Tool & Platform,category_disagreement,"Ảo hóa (Virtualization: VMware vSphere, Hyper-V)",
21,llm,human_a,Hyper-V,Hyper-V,required_skill,required_skill,Infrastructure & DevOps,Tool & Platform,category_disagreement,"Ảo hóa (Virtualization: VMware vSphere, Hyper-V)",
21,llm,human_a,HPE,HPE,required_skill,required_skill,Tool & Platform,Domain Knowledge,category_disagreement,"sản phẩm/giải pháp của các hãng: HPE (Servers, Storage)",
21,llm,human_a,Dell,Dell,required_skill,required_skill,Tool & Platform,Domain Knowledge,category_disagreement,"Dell (Servers, Storage)",
22,llm,human_a,,AI tools,,required_skill,,AI / ML / Data,llm_omission,,
22,llm,human_a,,coding,,required_skill,,Engineering Concepts & Methodologies,llm_omission,,
22,llm,human_a,,debugging,,required_skill,,Engineering Concepts & Methodologies,llm_omission,,
22,llm,human_a,,productivity optimization,,required_skill,,Engineering Concepts & Methodologies,llm_omission,,
22,llm,human_a,,Proactive,,required_skill,,Soft Skill,llm_omission,,
22,llm,human_a,agile workflows,agile,preferred_skill,required_skill,Engineering Concepts & Methodologies,Engineering Concepts & Methodologies,label_disagreement,Familiarity with agile workflows,
24,llm,human_a,quản lý dự án,,required_skill,,Soft Skill,,llm_hallucination,Từng quản lý các dự án triển khai phần mềm B2B,
24,llm,human_a,B2B,,required_skill,,Domain Knowledge,,llm_hallucination,Từng quản lý các dự án triển khai phần mềm B2B,
24,llm,human_a,tổ chức công việc,,required_skill,,Soft Skill,,llm_hallucination,Thành thạo kỹ năng ... tổ chức công việc,
24,llm,human_a,phối hợp đa phòng ban,,required_skill,,Soft Skill,,llm_hallucination,Khả năng ... phối hợp đa phòng ban tốt,
24,llm,human_a,,phần mềm B2B,,required_skill,,Domain Knowledge,llm_omission,,
24,llm,human_a,quản lý phát triển sản phẩm,quản lý phát triển sản phẩm,required_skill,required_skill,Soft Skill,Engineering Concepts & Methodologies,category_disagreement,tối thiểu 2 năm tham gia quản lý phát triển sản phẩm,
25,llm,human_a,quy trình kiểm thử phần mềm,,required_skill,,Testing & QA,,llm_hallucination,Có kiến thức sâu rộng về quy trình kiểm thử phần mềm,
25,llm,human_a,kiểm thử API,,preferred_skill,,Testing & QA,,llm_hallucination,Ưu tiên nhân sự có kinh nghiệm kiểm thử App/Web/API.,
26,llm,human_a,Triển khai giải pháp,,required_skill,,Engineering Concepts & Methodologies,,llm_hallucination,Kinh nghiệm từ 3 năm trở lên ở vị trí Triển khai giải pháp,
26,llm,human_a,BA,,required_skill,,Engineering Concepts & Methodologies,,llm_hallucination,Kinh nghiệm từ 3 năm trở lên ở vị trí Triển khai giải pháp hoặc BA,
26,llm,human_a,hệ thống quản trị doanh nghiệp,,preferred_skill,,Domain Knowledge,,llm_hallucination,triển khai phần mềm ERP/MES hoặc các hệ thống quản trị doanh nghiệp khác,
26,llm,human_a,,sản xuất,,required_skill,,Domain Knowledge,llm_omission,,
26,llm,human_a,,kế toán,,required_skill,,Domain Knowledge,llm_omission,,
26,llm,human_a,,nhân sự,,required_skill,,Domain Knowledge,llm_omission,,
26,llm,human_a,,logistics,,required_skill,,Domain Knowledge,llm_omission,,
27,llm,human_a,Cybersecurity,,required_skill,,Domain Knowledge,,llm_hallucination,Experience -5+ years in Cybersecurity / Information Security,
27,llm,human_a,Information Security,,required_skill,,Domain Knowledge,,llm_hallucination,Experience -5+ years in Cybersecurity / Information Security,
27,llm,human_a,SOC,,required_skill,,Domain Knowledge,,llm_hallucination,-1-2+ years leading SOC or Security Operations teams,
27,llm,human_a,Security Operations,,required_skill,,Domain Knowledge,,llm_hallucination,-1-2+ years leading SOC or Security Operations teams,
27,llm,human_a,MDM,,required_skill,,Tool & Platform,,llm_hallucination,"Microsoft Intune (MDM/MAM, compliance policies)",
27,llm,human_a,MAM,,required_skill,,Tool & Platform,,llm_hallucination,"Microsoft Intune (MDM/MAM, compliance policies)",
27,llm,human_a,compliance policies,,required_skill,,Domain Knowledge,,llm_hallucination,"Microsoft Intune (MDM/MAM, compliance policies)",
27,llm,human_a,SIEM,,required_skill,,Domain Knowledge,,llm_hallucination,SIEM: Microsoft Sentinel and/or Splunk,
27,llm,human_a,Vulnerability management,,required_skill,,Domain Knowledge,,llm_hallucination,Vulnerability management & scanning tools,
27,llm,human_a,scanning tools,,required_skill,,Tool & Platform,,llm_hallucination,Vulnerability management & scanning tools,
27,llm,human_a,Cloud security,,required_skill,,Infrastructure & DevOps,,llm_hallucination,Cloud security (Azure-first),
27,llm,human_a,identity threats,,required_skill,,Domain Knowledge,,llm_hallucination,Endpoint & identity threats,
27,llm,human_a,Compliance,,required_skill,,Domain Knowledge,,llm_hallucination,Compliance & Governance,
27,llm,human_a,Governance,,required_skill,,Domain Knowledge,,llm_hallucination,Compliance & Governance,
27,llm,human_a,SC-200,,preferred_skill,,Other,,llm_hallucination,"Microsoft Security certifications (SC-200, SC-300, SC-100)",
27,llm,human_a,SC-300,,preferred_skill,,Other,,llm_hallucination,"Microsoft Security certifications (SC-200, SC-300, SC-100)",
27,llm,human_a,SC-100,,preferred_skill,,Other,,llm_hallucination,"Microsoft Security certifications (SC-200, SC-300, SC-100)",
27,llm,human_a,Cloud security certifications,,preferred_skill,,Other,,llm_hallucination,Cloud security certifications (Azure preferred),
27,llm,human_a,,leadership,,required_skill,,Soft Skill,llm_omission,,
27,llm,human_a,,decision-making,,required_skill,,Soft Skill,llm_omission,,
27,llm,human_a,Microsoft security ecosystem,Microsoft security ecosystem,required_skill,required_skill,Domain Knowledge,Tool & Platform,category_disagreement,experience with Microsoft or any Cloud / On Premises security ecosystem,
27,llm,human_a,Cloud security ecosystem,Cloud security ecosystem,required_skill,required_skill,Domain Knowledge,Infrastructure & DevOps,category_disagreement,experience with Microsoft or any Cloud / On Premises security ecosystem,
27,llm,human_a,On Premises security,On Premises security ecosystem,required_skill,required_skill,Domain Knowledge,Infrastructure & DevOps,category_disagreement,Cloud / On Premises security ecosystem,
27,llm,human_a,Grafana,Grafana,required_skill,required_skill,Infrastructure & DevOps,Tool & Platform,category_disagreement,"Monitoring & observability: Grafana, Prometheus",
27,llm,human_a,Prometheus,Prometheus,required_skill,required_skill,Infrastructure & DevOps,Tool & Platform,category_disagreement,"Monitoring & observability: Grafana, Prometheus",
27,llm,human_a,Secure SDLC,Secure SDLC,required_skill,required_skill,Engineering Concepts & Methodologies,Domain Knowledge,category_disagreement,Secure SDLC tooling: SonarQube,
27,llm,human_a,Endpoint threats,Endpoint & identity threats,required_skill,required_skill,Domain Knowledge,Infrastructure & DevOps,category_disagreement,Endpoint & identity threats,
