raw_skill_name,category,skill_normalized,cluster_id,auto_canonical,override_canonical,final_canonical,raw_count
JavaScript ES6+,Programming Language,javascript,2320,javascript,,javascript,1
SQL Server,Database,sql server,674,sql server,,sql server,12100
MS SQL,Database,sql server,674,sql server,,sql server,484
SQL SERVER,Database,sql server,674,sql server,,sql server,1
SQL server,Database,sql server,674,sql server,,sql server,9
SQL-Server,Database,sql server,674,sql server,,sql server,1
Sql server,Database,sql server,674,sql server,,sql server,4
MSSQL,Database,sql server,674,sql server,,sql server,144
Sql Server,Database,sql server,674,sql server,,sql server,1
MsSQL,Database,sql server,674,sql server,,sql server,1
phát triển ứng dụng Web,Domain Knowledge,phát triển ứng dụng web,1375,web applications development,,web applications development,1
phát triển ứng dụng web,Domain Knowledge,phát triển ứng dụng web,1375,web applications development,,web applications development,36
tư duy logic,Soft Skill,tư duy logic,384,logic thinking,,logic thinking,62500
Tư duy logic,Soft Skill,tư duy logic,384,logic thinking,,logic thinking,16129
tư duy Logic,Soft Skill,tư duy logic,384,logic thinking,,logic thinking,4
tư duy/logic,Soft Skill,tư duy logic,384,logic thinking,,logic thinking,4
làm việc độc lập,Soft Skill,work independently,969,work independently,,work independently,53361
work independently,Soft Skill,work independently,969,work independently,,work independently,121
Làm việc độc lập,Soft Skill,work independently,969,work independently,,work independently,64
phối hợp theo nhóm,Soft Skill,teamwork,306,teamwork,,teamwork,1
làm việc nhóm,Soft Skill,teamwork,306,teamwork,,teamwork,281961
Làm việc nhóm,Soft Skill,teamwork,306,teamwork,,teamwork,196
Teamwork,Soft Skill,teamwork,306,teamwork,,teamwork,1521
teamwork,Soft Skill,teamwork,306,teamwork,,teamwork,15129
làm việc theo nhóm,Soft Skill,teamwork,306,teamwork,,teamwork,5041
collaboration,Soft Skill,teamwork,306,teamwork,,teamwork,1600
Team player,Soft Skill,teamwork,306,teamwork,,teamwork,4
team player,Soft Skill,teamwork,306,teamwork,,teamwork,196
phối hợp nhóm,Soft Skill,teamwork,306,teamwork,,teamwork,625
work collaboratively,Soft Skill,teamwork,306,teamwork,,teamwork,16
phối hợp với đồng nghiệp,Soft Skill,teamwork,306,teamwork,,teamwork,1
làm việc phối hợp nhóm,Soft Skill,teamwork,306,teamwork,,teamwork,1
Phối hợp nhóm,Soft Skill,teamwork,306,teamwork,,teamwork,1
team collaboration,Soft Skill,teamwork,306,teamwork,,teamwork,4
cộng tác nhóm,Soft Skill,teamwork,306,teamwork,,teamwork,1
cross-team collaboration,Soft Skill,teamwork,306,teamwork,,teamwork,1
work effectively in a team,Soft Skill,teamwork,306,teamwork,,teamwork,4
Collaboration,Soft Skill,teamwork,306,teamwork,,teamwork,25
collaborate,Soft Skill,teamwork,306,teamwork,,teamwork,16
làm việc Nhóm,Soft Skill,teamwork,306,teamwork,,teamwork,1
phối hợp tốt với các nhóm,Soft Skill,teamwork,306,teamwork,,teamwork,4
Team-oriented,Soft Skill,teamwork,306,teamwork,,teamwork,1
Team collaboration,Soft Skill,teamwork,306,teamwork,,teamwork,1
lập trình mobile,Other,lập trình mobile,302,mobile app,,mobile app,4
lập trình Mobile,Other,lập trình mobile,302,mobile app,,mobile app,16
REST API,Engineering Concepts & Methodologies,restful api,1288,restful api,,restful api,3844
RESTful API,Engineering Concepts & Methodologies,restful api,1288,restful api,,restful api,16129
RESTful APIs,Engineering Concepts & Methodologies,restful api,1288,restful api,,restful api,7569
REST APIs,Engineering Concepts & Methodologies,restful api,1288,restful api,,restful api,1225
API RESTful,Engineering Concepts & Methodologies,restful api,1288,restful api,,restful api,36
Restful API,Engineering Concepts & Methodologies,restful api,1288,restful api,,restful api,361
Restful,Engineering Concepts & Methodologies,restful api,1288,restful api,,restful api,36
RESTful,Engineering Concepts & Methodologies,restful api,1288,restful api,,restful api,441
RESTFUL,Engineering Concepts & Methodologies,restful api,1288,restful api,,restful api,9
RESTFUL API,Engineering Concepts & Methodologies,restful api,1288,restful api,,restful api,1
Rest API,Engineering Concepts & Methodologies,restful api,1288,restful api,,restful api,25
Rest-API,Engineering Concepts & Methodologies,restful api,1288,restful api,,restful api,1
API RESTFul,Engineering Concepts & Methodologies,restful api,1288,restful api,,restful api,1
RESTful Api,Engineering Concepts & Methodologies,restful api,1288,restful api,,restful api,1
Restful APIs,Engineering Concepts & Methodologies,restful api,1288,restful api,,restful api,1
restful API,Engineering Concepts & Methodologies,restful api,1288,restful api,,restful api,1
Rest APIs,Engineering Concepts & Methodologies,restful api,1288,restful api,,restful api,1
networking,Infrastructure & DevOps,networking,699,networking,,networking,961
Network,Infrastructure & DevOps,networking,699,networking,,networking,1089
Networking,Infrastructure & DevOps,networking,699,networking,,networking,361
network,Infrastructure & DevOps,networking,699,networking,,networking,169
mạng máy tính,Infrastructure & DevOps,networking,699,networking,,networking,676
mạng,Infrastructure & DevOps,networking,699,networking,,networking,729
hệ thống mạng,Infrastructure & DevOps,networking,699,networking,,networking,961
Mạng,Infrastructure & DevOps,networking,699,networking,,networking,9
Mạng máy tính,Infrastructure & DevOps,networking,699,networking,,networking,4
State management,Engineering Concepts & Methodologies,state management,2018,state management,,state management,16
state management,Engineering Concepts & Methodologies,state management,2018,state management,,state management,576
State Management,Engineering Concepts & Methodologies,state management,2018,state management,,state management,144
Bluetooth (BLE),Domain Knowledge,bluetooth (ble),32,bluetooth,,bluetooth,1
device connection,Domain Knowledge,device connection,6560,device connection,,Domain Knowledge Other,1
debug và tối ưu hiệu năng,Engineering Concepts & Methodologies,debug và tối ưu hiệu năng,5229,debug và tối ưu hiệu năng,,Engineering Concepts & Methodologies Other,1
tư duy sản phẩm,Soft Skill,tư duy sản phẩm,705,product mindset,,product mindset,529
Tư duy Sản phẩm,Soft Skill,tư duy sản phẩm,705,product mindset,,product mindset,4
Tư duy sản phẩm,Soft Skill,tư duy sản phẩm,705,product mindset,,product mindset,121
phát triển ứng dụng desktop,Domain Knowledge,phát triển ứng dụng desktop,1296,desktop applications,,desktop applications,1
Electron.js,Framework / Library,electron js,815,electronjs,,electronjs,1
mô hình bất đồng bộ,Engineering Concepts & Methodologies,mô hình bất đồng bộ,3491,mô hình bất đồng bộ,,Engineering Concepts & Methodologies Other,1
Event Loop,Engineering Concepts & Methodologies,event loop,4496,event loop,,Engineering Concepts & Methodologies Other,1
event loop,Engineering Concepts & Methodologies,event loop,4496,event loop,,Engineering Concepts & Methodologies Other,1
better-sqlite3,Framework / Library,better sqlite3,4231,better sqlite3,,Framework / Library Other,1
đóng gói & phân phối ứng dụng desktop,Engineering Concepts & Methodologies,đóng gói & phân phối ứng dụng desktop,6703,đóng gói & phân phối ứng dụng desktop,,Engineering Concepts & Methodologies Other,1
xử lý đa luồng,Engineering Concepts & Methodologies,multithreading,2389,multithreading,,multithreading,25
Multi-threading,Engineering Concepts & Methodologies,multithreading,2389,multithreading,,multithreading,1
Multi Thread,Engineering Concepts & Methodologies,multithreading,2389,multithreading,,multithreading,1
Multithreading,Engineering Concepts & Methodologies,multithreading,2389,multithreading,,multithreading,64
multi-thread,Engineering Concepts & Methodologies,multithreading,2389,multithreading,,multithreading,9
multithreading,Engineering Concepts & Methodologies,multithreading,2389,multithreading,,multithreading,100
Threading,Engineering Concepts & Methodologies,multithreading,2389,multithreading,,multithreading,1
Multi-Threading,Engineering Concepts & Methodologies,multithreading,2389,multithreading,,multithreading,1
multi-threading,Engineering Concepts & Methodologies,multithreading,2389,multithreading,,multithreading,9
threading,Engineering Concepts & Methodologies,multithreading,2389,multithreading,,multithreading,25
multi-thread programming,Engineering Concepts & Methodologies,multithreading,2389,multithreading,,multithreading,1
multi-threaded application,Engineering Concepts & Methodologies,multithreading,2389,multithreading,,multithreading,1
job queue,Engineering Concepts & Methodologies,job queue,526,job queue,,job queue,4
tối ưu CPU & memory,Engineering Concepts & Methodologies,tối ưu cpu & memory,4846,tối ưu cpu memory,,tối ưu cpu memory,1
xử lý memory leak,Engineering Concepts & Methodologies,xử lý memory leak,491,memory leaks,,memory leaks,9
profiling hiệu năng ứng dụng,Engineering Concepts & Methodologies,profiling hiệu năng ứng dụng,1522,profiling ứng dụng,,profiling ứng dụng,1
Native Addons (N-API),Framework / Library,native addons (n api),6763,native addons (n api),,Framework / Library Other,1
publish ứng dụng desktop,Engineering Concepts & Methodologies,publish ứng dụng desktop,5976,publish ứng dụng desktop,,Engineering Concepts & Methodologies Other,1
Postgres,Database,postgresql,407,postgresql,,postgresql,400
PostgreSQL,Database,postgresql,407,postgresql,,postgresql,69169
POSTGRESQL,Database,postgresql,407,postgresql,,postgresql,4
Postgre,Database,postgresql,407,postgresql,,postgresql,4
Postgresql,Database,postgresql,407,postgresql,,postgresql,100
postgres,Database,postgresql,407,postgresql,,postgresql,1
PostgresQL,Database,postgresql,407,postgresql,,postgresql,1
Posgres,Database,postgresql,407,postgresql,,postgresql,1
Indexing,Engineering Concepts & Methodologies,indexing,4,indexing,,indexing,1
indexing,Engineering Concepts & Methodologies,indexing,4,indexing,,indexing,1
Index,Engineering Concepts & Methodologies,indexing,4,indexing,,indexing,1
Transaction design,Engineering Concepts & Methodologies,transaction design,6092,transaction design,,Engineering Concepts & Methodologies Other,9
System Thinking,Soft Skill,system thinking,502,system thinking,,system thinking,4
tư duy hệ thống,Soft Skill,system thinking,502,system thinking,,system thinking,1444
system thinking,Soft Skill,system thinking,502,system thinking,,system thinking,81
Tư duy hệ thống,Soft Skill,system thinking,502,system thinking,,system thinking,2500
system-thinking,Soft Skill,system thinking,502,system thinking,,system thinking,9
System thinking,Soft Skill,system thinking,502,system thinking,,system thinking,1
vận hành,Domain Knowledge,operations,3325,operations,,operations,16
Operations,Domain Knowledge,operations,3325,operations,,operations,9
logistics,Domain Knowledge,logistics,774,logistics,,logistics,400
Logistics,Domain Knowledge,logistics,774,logistics,,logistics,121
kho vận,Domain Knowledge,logistics,774,logistics,,logistics,4
Kho vận,Domain Knowledge,logistics,774,logistics,,logistics,1
Logistics Vận tải,Domain Knowledge,logistics,774,logistics,,logistics,1
marketing,Domain Knowledge,marketing,15,marketing,,marketing,36
Marketing,Domain Knowledge,marketing,15,marketing,,marketing,144
Problem Solving,Soft Skill,problem solving,544,problem solving,,problem solving,121
phân tích vấn đề,Soft Skill,problem solving,544,problem solving,,problem solving,196
problem-solving,Soft Skill,problem solving,544,problem solving,,problem solving,63001
phân tích và giải quyết vấn đề,Soft Skill,problem solving,544,problem solving,,problem solving,841
problem-solving skills,Soft Skill,problem solving,544,problem solving,,problem solving,49
Problem solving,Soft Skill,problem solving,544,problem solving,,problem solving,25
Problem-solving,Soft Skill,problem solving,544,problem solving,,problem solving,441
problem solving,Soft Skill,problem solving,544,problem solving,,problem solving,361
Problem-Solving,Soft Skill,problem solving,544,problem solving,,problem solving,81
Phân tích vấn đề,Soft Skill,problem solving,544,problem solving,,problem solving,4
Problem-Solving Skills,Soft Skill,problem solving,544,problem solving,,problem solving,1
Trade-off,Engineering Concepts & Methodologies,trade off,4095,trade off,,Engineering Concepts & Methodologies Other,9
Data Engineering,Data Engineering & Analytics,data engineering,518,data engineering,,data engineering,121
data engineering,Data Engineering & Analytics,data engineering,518,data engineering,,data engineering,121
Data engieering,Data Engineering & Analytics,data engineering,518,data engineering,,data engineering,4
Pipeline xử lý dữ liệu lớn,Data Engineering & Analytics,data pipelines,137,data pipelines,,data pipelines,9
data pipeline,Data Engineering & Analytics,data pipelines,137,data pipelines,,data pipelines,36
Data Pipeline,Data Engineering & Analytics,data pipelines,137,data pipelines,,data pipelines,36
big data pipelines,Data Engineering & Analytics,data pipelines,137,data pipelines,,data pipelines,4
data pipelines,Data Engineering & Analytics,data pipelines,137,data pipelines,,data pipelines,144
Data pipelines,Data Engineering & Analytics,data pipelines,137,data pipelines,,data pipelines,4
Data Pipelines,Data Engineering & Analytics,data pipelines,137,data pipelines,,data pipelines,1
Asynchronous pipeline,Engineering Concepts & Methodologies,asynchronous pipeline,4021,asynchronous pipeline,,Engineering Concepts & Methodologies Other,9
eCommerce,Domain Knowledge,e commerce,4222,e commerce,,e commerce,225
thương mại điện tử,Domain Knowledge,e commerce,4222,e commerce,,e commerce,289
E-commerce,Domain Knowledge,e commerce,4222,e commerce,,e commerce,1024
Thương mại điện tử,Domain Knowledge,e commerce,4222,e commerce,,e commerce,121
sàn TMĐT,Domain Knowledge,e commerce,4222,e commerce,,e commerce,4
TMĐT,Domain Knowledge,e commerce,4222,e commerce,,e commerce,36
e-commerce,Domain Knowledge,e commerce,4222,e commerce,,e commerce,361
ecommerce,Domain Knowledge,e commerce,4222,e commerce,,e commerce,16
Ecommerce,Domain Knowledge,e commerce,4222,e commerce,,e commerce,144
Thương mại Điện tử,Domain Knowledge,e commerce,4222,e commerce,,e commerce,1
e-Commerce,Domain Knowledge,e commerce,4222,e commerce,,e commerce,1
hiệu năng,Engineering Concepts & Methodologies,performance,3017,performance,,performance,16
Performance,Engineering Concepts & Methodologies,performance,3017,performance,,performance,9
performance,Engineering Concepts & Methodologies,performance,3017,performance,,performance,81
hiệu năng cao,Engineering Concepts & Methodologies,performance,3017,performance,,performance,1
hiệu năng hệ thống,Engineering Concepts & Methodologies,performance,3017,performance,,performance,4
cài đặt phần mềm máy tính,IT Support & Hardware,cài đặt phần mềm máy tính,99,cài đặt phần mềm,,cài đặt phần mềm,1
phần cứng,IT Support & Hardware,hardware,66,hardware,,hardware,729
phần cứng máy tính,IT Support & Hardware,hardware,66,hardware,,hardware,256
Phần cứng,IT Support & Hardware,hardware,66,hardware,,hardware,1
Phần cứng máy tính,IT Support & Hardware,hardware,66,hardware,,hardware,1
hardware,IT Support & Hardware,hardware,66,hardware,,hardware,4
Hardware,IT Support & Hardware,hardware,66,hardware,,hardware,1
hệ thống mạng máy tính,Infrastructure & DevOps,hệ thống mạng máy tính,572,hệ thống mạng máy tính,,hệ thống mạng máy tính,4
giải quyết vấn đề,Soft Skill,giải quyết vấn đề,544,problem solving,,problem solving,156025
Giải quyết vấn đề,Soft Skill,giải quyết vấn đề,544,problem solving,,problem solving,49
mảng chung cư,Domain Knowledge,mảng chung cư,5315,mảng chung cư,,Domain Knowledge Other,1
TypeScript,Programming Language,typescript,5415,typescript,,typescript,21025
Typescript,Programming Language,typescript,5415,typescript,,typescript,784
typescript,Programming Language,typescript,5415,typescript,,typescript,1
Typescripts,Programming Language,typescript,5415,typescript,,typescript,1
Express,Framework / Library,expressjs,3388,expressjs,,expressjs,64
Express.js,Framework / Library,expressjs,3388,expressjs,,expressjs,64
EXPRESSJS,Framework / Library,expressjs,3388,expressjs,,expressjs,4
ExpressJS,Framework / Library,expressjs,3388,expressjs,,expressjs,36
Expressjs,Framework / Library,expressjs,3388,expressjs,,expressjs,1
API backend,Engineering Concepts & Methodologies,backend development,281,backend development,,backend development,4
API/Backend,Engineering Concepts & Methodologies,backend development,281,backend development,,backend development,1
Backend services,Engineering Concepts & Methodologies,backend development,281,backend development,,backend development,1
backend,Engineering Concepts & Methodologies,backend development,281,backend development,,backend development,81
web/backend systems,Engineering Concepts & Methodologies,backend development,281,backend development,,backend development,1
Backend systems,Engineering Concepts & Methodologies,backend development,281,backend development,,backend development,9
lập trình Backend,Engineering Concepts & Methodologies,backend development,281,backend development,,backend development,1
Backend,Engineering Concepts & Methodologies,backend development,281,backend development,,backend development,16
backend programming,Engineering Concepts & Methodologies,backend development,281,backend development,,backend development,1
Backend Development,Engineering Concepts & Methodologies,backend development,281,backend development,,backend development,4
backend development,Engineering Concepts & Methodologies,backend development,281,backend development,,backend development,64
backend software development,Engineering Concepts & Methodologies,backend development,281,backend development,,backend development,1
Back-End,Engineering Concepts & Methodologies,backend development,281,backend development,,backend development,1
backend services,Engineering Concepts & Methodologies,backend development,281,backend development,,backend development,4
Backend programming,Engineering Concepts & Methodologies,backend development,281,backend development,,backend development,1
Authentication,Engineering Concepts & Methodologies,authentication,1027,authentication,,authentication,25
authentication,Engineering Concepts & Methodologies,authentication,1027,authentication,,authentication,196
authentication & authorization,Engineering Concepts & Methodologies,authentication,1027,authentication,,authentication,4
Authentication & Authorization,Engineering Concepts & Methodologies,authentication,1027,authentication,,authentication,1
authentication protocols,Engineering Concepts & Methodologies,authentication,1027,authentication,,authentication,1
error handling,Engineering Concepts & Methodologies,error handling,4453,error handling,,error handling,64
real-time system,Engineering Concepts & Methodologies,real time systems,1692,real time systems,,real time systems,1
hệ thống real-time,Engineering Concepts & Methodologies,real time systems,1692,real time systems,,real time systems,1
real-time systems,Engineering Concepts & Methodologies,real time systems,1692,real time systems,,real time systems,4
WebSocket,Framework / Library,websocket,283,websocket,,websocket,4
WebSockets,Framework / Library,websocket,283,websocket,,websocket,1
message queue,Engineering Concepts & Methodologies,message queue,1344,message queue,,message queue,25
SaaS platform,Domain Knowledge,saas platform,1251,saas platform,,saas platform,1
SaaS Platform,Domain Knowledge,saas platform,1251,saas platform,,saas platform,1
AI/LLM integration,AI/ML/Data,ai llm integration,427,ai llm integration,,ai llm integration,1
system design,Engineering Concepts & Methodologies,system design,604,system design,,system design,1024
thiết kế hệ thống,Engineering Concepts & Methodologies,system design,604,system design,,system design,784
System design,Engineering Concepts & Methodologies,system design,604,system design,,system design,9
System Design,Engineering Concepts & Methodologies,system design,604,system design,,system design,81
Automation Testing,Testing & QA,automation testing,1349,automation testing,,automation testing,324
automation testing,Testing & QA,automation testing,1349,automation testing,,automation testing,169
Automation testing,Testing & QA,automation testing,1349,automation testing,,automation testing,4
kiểm thử tự động,Testing & QA,automation testing,1349,automation testing,,automation testing,121
automated testing,Testing & QA,automation testing,1349,automation testing,,automation testing,81
Playwright,Testing & QA,playwright,5826,playwright,,playwright,1444
Copilot,Tool & Platform,github copilot,1419,github copilot,,github copilot,361
GitHub Copilot,Tool & Platform,github copilot,1419,github copilot,,github copilot,441
AI-assisted development tools,Tool & Platform,github copilot,1419,github copilot,,github copilot,121
github copilot,Tool & Platform,github copilot,1419,github copilot,,github copilot,4
AI coding tools,Tool & Platform,github copilot,1419,github copilot,,github copilot,81
AI Coding Tools,Tool & Platform,github copilot,1419,github copilot,,github copilot,4
Github Copilot,Tool & Platform,github copilot,1419,github copilot,,github copilot,9
AI coding assistants,Tool & Platform,github copilot,1419,github copilot,,github copilot,36
Github copilot,Tool & Platform,github copilot,1419,github copilot,,github copilot,1
hallucinations,AI/ML/Data,hallucinations,4511,hallucinations,,AI/ML/Data Other,1
tư vấn giải pháp,Soft Skill,tư vấn giải pháp,480,tư vấn giải pháp,,tư vấn giải pháp,64
triển khai các giải pháp mảng Mạng,Infrastructure & DevOps,triển khai các giải pháp mảng mạng,309,thiết kế giải pháp mạng,,thiết kế giải pháp mạng,1
doanh nghiệp,Domain Knowledge,doanh nghiệp,274,kinh doanh,,kinh doanh,1
chính phủ,Domain Knowledge,chính phủ,2240,government,,government,4
Chính phủ,Domain Knowledge,chính phủ,2240,government,,government,4
viết tài liệu giải pháp kỹ thuật,Engineering Concepts & Methodologies,làm tài liệu,36,làm tài liệu,,làm tài liệu,16
viết tài liệu nghiệp vụ,Engineering Concepts & Methodologies,làm tài liệu,36,làm tài liệu,,làm tài liệu,36
viết tài liệu yêu cầu,Engineering Concepts & Methodologies,làm tài liệu,36,làm tài liệu,,làm tài liệu,16
xây dựng tài liệu kỹ thuật,Engineering Concepts & Methodologies,làm tài liệu,36,làm tài liệu,,làm tài liệu,9
viết document,Engineering Concepts & Methodologies,làm tài liệu,36,làm tài liệu,,làm tài liệu,1
Xây dựng tài liệu kỹ thuật,Engineering Concepts & Methodologies,làm tài liệu,36,làm tài liệu,,làm tài liệu,1
giao tiếp,Soft Skill,giao tiếp,596,communication,,communication,538756
Giao tiếp,Soft Skill,giao tiếp,596,communication,,communication,11025
trình bày,Soft Skill,trình bày,1411,presenting,,presenting,11236
kỹ năng trình bày,Soft Skill,trình bày,1411,presenting,,presenting,1
nghiên cứu,Soft Skill,research,991,research,,research,625
research,Soft Skill,research,991,research,,research,144
nghiên cứu chuyên sâu,Soft Skill,research,991,research,,research,1
khả năng nghiên cứu,Soft Skill,research,991,research,,research,1
Research,Soft Skill,research,991,research,,research,9
thiết kế giải pháp mạng,Infrastructure & DevOps,thiết kế giải pháp mạng,309,thiết kế giải pháp mạng,,thiết kế giải pháp mạng,1
tư vấn giải pháp mạng,Soft Skill,tư vấn giải pháp mạng,224,tư vấn giải pháp mạng,,tư vấn giải pháp mạng,1
xây dựng hồ sơ thầu,Other,xây dựng hồ sơ thầu,671,đấu thầu,,đấu thầu,4
Fullstack Software Engineer,Engineering Concepts & Methodologies,fullstack software engineer,4775,fullstack software engineer,,Engineering Concepts & Methodologies Other,1
React Native,Framework / Library,react native,780,react native,,react native,3136
React native,Framework / Library,react native,780,react native,,react native,1
ReactNative,Framework / Library,react native,780,react native,,react native,9
REACT NATIVE,Framework / Library,react native,780,react native,,react native,1
react native,Framework / Library,react native,780,react native,,react native,1
React Native CLI,Framework / Library,react native,780,react native,,react native,1
Cron Jobs,Tool & Platform,cron jobs,2138,cron jobs,,cron jobs,1
Cron jobs,Tool & Platform,cron jobs,2138,cron jobs,,cron jobs,1
cron jobs,Tool & Platform,cron jobs,2138,cron jobs,,cron jobs,1
Tư duy lập trình,Soft Skill,tư duy lập trình,2605,tư duy lập trình,,tư duy lập trình,16
tư duy lập trình,Soft Skill,tư duy lập trình,2605,tư duy lập trình,,tư duy lập trình,4
xử lý vấn đề,Soft Skill,troubleshooting,1009,troubleshooting,,troubleshooting,841
troubleshooting,Soft Skill,troubleshooting,1009,troubleshooting,,troubleshooting,784
xử lý sự cố,Soft Skill,troubleshooting,1009,troubleshooting,,troubleshooting,324
Xử lý sự cố,Soft Skill,troubleshooting,1009,troubleshooting,,troubleshooting,4
Troubleshooting,Soft Skill,troubleshooting,1009,troubleshooting,,troubleshooting,4
debug,Engineering Concepts & Methodologies,debugging,893,debugging,,debugging,484
Debug,Engineering Concepts & Methodologies,debugging,893,debugging,,debugging,25
debugging,Engineering Concepts & Methodologies,debugging,893,debugging,,debugging,1225
Debugging,Engineering Concepts & Methodologies,debugging,893,debugging,,debugging,1
tối ưu code,Engineering Concepts & Methodologies,tối ưu code,1283,tối ưu code,,tối ưu code,4
tư duy phát triển sản phẩm,Soft Skill,tư duy phát triển sản phẩm,705,product mindset,,product mindset,1
Confluence,Tool & Platform,confluence,4355,confluence,,confluence,10816
tối ưu hiệu năng backend,Engineering Concepts & Methodologies,tối ưu hiệu năng backend,1488,tối ưu hệ thống backend,,tối ưu hệ thống backend,1
quản trị mạng doanh nghiệp,Infrastructure & DevOps,quản trị mạng doanh nghiệp,486,hệ thống mạng doanh nghiệp,,hệ thống mạng doanh nghiệp,1
hệ thống mạng doanh nghiệp,Infrastructure & DevOps,hệ thống mạng doanh nghiệp,486,hệ thống mạng doanh nghiệp,,hệ thống mạng doanh nghiệp,4
Switching,Infrastructure & DevOps,switching,395,switching,,switching,196
Switch,Infrastructure & DevOps,switching,395,switching,,switching,64
switch,Infrastructure & DevOps,switching,395,switching,,switching,49
switching,Infrastructure & DevOps,switching,395,switching,,switching,25
cấu hình switch,Infrastructure & DevOps,switching,395,switching,,switching,1
Checkpoint,Infrastructure & DevOps,checkpoint,2966,checkpoint,,checkpoint,16
CheckPoint,Infrastructure & DevOps,checkpoint,2966,checkpoint,,checkpoint,4
Fortinet,Infrastructure & DevOps,fortinet,743,fortinet,,fortinet,196
Palo Alto,Infrastructure & DevOps,palo alto,1286,palo alto,,palo alto,64
Palo Alto Networks,Infrastructure & DevOps,palo alto,1286,palo alto,,palo alto,1
PaloAlto,Infrastructure & DevOps,palo alto,1286,palo alto,,palo alto,4
Palo alto,Infrastructure & DevOps,palo alto,1286,palo alto,,palo alto,1
Paloalto,Infrastructure & DevOps,palo alto,1286,palo alto,,palo alto,1
Sonicwall,Infrastructure & DevOps,sonicwall,5803,sonicwall,,Infrastructure & DevOps Other,1
an ninh bảo mật,Infrastructure & DevOps,an ninh bảo mật,300,security,,security,1
hệ thống,Infrastructure & DevOps,hệ thống,2036,hệ thống,,hệ thống,36
Hệ thống,Infrastructure & DevOps,hệ thống,2036,hệ thống,,hệ thống,4
chassis blade,Infrastructure & DevOps,chassis blade,5387,chassis blade,,Infrastructure & DevOps Other,1
vận hành DB,Database,vận hành db,5896,vận hành db,,Database Other,1
Backup restore Database,Database,backup restore database,984,database backup,,database backup,1
