final_canonical,dominant_category,total_count,n_raw_variants,n_required,n_preferred,sample_variants
ci cd,Infrastructure & DevOps,420,10,293,127,CI/CD|CI/CD pipelines|CI/CD pipeline|GitLab CI/CD|CI/CD Pipeline
Testing & QA Other,Testing & QA,416,344,336,80,Cross-browser Testing|Cross browser testing|Cross-browser testing|White Box|white-box
restful api,Engineering Concepts & Methodologies,387,22,377,10,REST API|RESTful API|RESTful APIs|REST APIs|API RESTful
docker,Infrastructure & DevOps,384,4,230,154,Docker|docker|DOCKER|Docker Compos
aws,Infrastructure & DevOps,352,9,199,153,AWS|Aws cloud|AWS Cloud|Amazon Web Service|Amazon Web Services
javascript,Programming Language,344,14,306,38,Javascript|JavaScript|JS|js|JavaScript (ES6+)
microservices,Engineering Concepts & Methodologies,312,33,229,83,kiến trúc microservices|microservices architecture|kiến trúc Microservices|Micro services|Kiến trúc Microservices
Embedded & Firmware Other,Embedded & Firmware,310,262,237,73,Embedded C|Embedded C/C++|embedded C++|embedded C/C++|thiết kế mạch PCB
postgresql,Database,305,13,275,30,Postgres|PostgreSQL|POSTGRESQL|Postgre|Postgresql
reactjs,Framework / Library,298,15,231,67,React|ReactJS|Reactjs|React.js|React js
mysql,Database,292,4,269,23,MySQL|mysql|Mysql|MySql
analytical,Soft Skill,289,17,286,3,phân tích|Phân tích|analytical & logical thinking|analysis|analytical and problem-solving
software development,Engineering Concepts & Methodologies,288,35,256,32,quy trình phát triển phần mềm|Quy trình phát triển phần mềm|phát triển phần mềm|Software Engineering|software development
kubernetes,Infrastructure & DevOps,282,9,172,110,K8s|Kubernetes|k8s|Kubernete|K8S
jira,Tool & Platform,274,3,228,46,Jira|JIRA|jira
Data Engineering & Analytics Other,Data Engineering & Analytics,267,194,187,80,Athena|HDFS|Trino|Data Product|kudu
work independently,Soft Skill,252,5,251,1,làm việc độc lập|work independently|Làm việc độc lập|work independent|working independently
time management,Soft Skill,249,19,245,4,lập kế hoạch|quản lý thời gian|quản lý deadline|Lập kế hoạch|Time Management
scrum,Engineering Concepts & Methodologies,249,10,181,68,Scrum|SCRUM|Agile Process|Agile development processes|scrum
Design & UX Other,Design & UX,240,195,181,59,"game mechanic|game element|Flat Design|flat design|xây dựng, tùy biến UI"
html,Programming Language,232,7,203,29,HTML|Html|Html5|HTML5|HTML/CSS
linux,Tool & Platform,229,5,194,35,Linux|linux|Linux command line|linux command|LINUX
azure,Infrastructure & DevOps,222,4,131,91,Azure|Microsoft Azure|Azure Cloud|azure
css,Programming Language,214,5,187,27,CSS|Css|Css3|CSS3|css
networking,Infrastructure & DevOps,202,18,184,18,networking|Network|Networking|network|mạng máy tính
oracle,Database,200,3,171,29,Oracle Database|Oracle|oracle
sql server,Database,193,17,174,19,SQL Server|MS SQL|SQL SERVER|SQL server|SQL-Server
gcp,Infrastructure & DevOps,186,5,100,86,GCP|Google Cloud|Google Cloud Platform (GCP)|Google Cloud Platform|Google cloud
c#,Programming Language,185,5,163,22,C#|C#.NET|C# .NET|C# .net|C#.net
ai,AI/ML/Data,181,3,126,55,AI|trí tuệ nhân tạo|Ai
security,Infrastructure & DevOps,181,23,132,49,an ninh bảo mật|security|Security|bảo mật hệ thống|an toàn thông tin
api,Engineering Concepts & Methodologies,181,2,150,31,API|APIs
project management,Soft Skill,180,29,159,21,quản lý dự án|Quản lý dự án|Quản lý Dự án|quản trị dự án|project management
business analysis,Engineering Concepts & Methodologies,180,11,167,13,phân tích nghiệp vụ|BA|Phân tích nghiệp vụ|kỹ năng BA|business analysis
figma,Tool & Platform,180,2,156,24,Figma|figma
mongodb,Database,179,5,151,28,MongoDB|mongodb|Mongodb|Mongo DB|MONGODB
typescript,Programming Language,175,4,153,22,TypeScript|Typescript|typescript|Typescripts
banking,Domain Knowledge,175,10,61,114,ngân hàng|banking|Banking|Ngân hàng|Bank
net,Framework / Library,174,15,149,25,.NET|.Net|.NET Core|.Net Framework|.NET Framework
Database Other,Database,173,137,143,30,IBM DB2|Neo4j|My SQL|TimescaleDB|TimeScaleDB
IT Support & Hardware Other,IT Support & Hardware,173,146,139,34,máy in|sửa chữa điện thoại|hỗ trợ người dùng nội bộ|Lenovo|PC
erp,Domain Knowledge,169,2,83,86,ERP|ERP systems
oop,Engineering Concepts & Methodologies,162,2,159,3,OOP|Object-Oriented Design (OOD)
excel,Tool & Platform,159,3,145,14,Excel|excel|MS Excel
data analysis,Data Engineering & Analytics,158,24,126,32,data analysis|Data analysis|Data Analytics|Data Analysis|Analytics
devops,Infrastructure & DevOps,156,4,112,44,DevOps|Devops|devops|DevOPs
design patterns,Engineering Concepts & Methodologies,154,6,145,9,Design Patterns|Design patterns|design patterns|design pattern|Design Pattern
kafka,Data Engineering & Analytics,153,2,101,52,Kafka|kafka
nosql,Database,150,14,119,31,NoSQL|NoSQL databases|NoSQL database|NoSql|NO-SQL
machine learning,AI/ML/Data,148,21,116,32,Machine Learning|ML|Machine learning|AI/ML|học máy
presentation skills,Soft Skill,147,9,142,5,Presentation skills|thuyết trình|Presentation Skills|presentation skills|kỹ năng thuyết trình
redis,Database,147,4,114,33,Redis|redis|REDIS|Cache Redis
cloud,Infrastructure & DevOps,142,5,86,56,Cloud|cloud|cloud platforms|Cloud platforms|Cloud Platforms
system thinking,Soft Skill,141,9,139,2,System Thinking|tư duy hệ thống|system thinking|Tư duy hệ thống|system-thinking
leadership,Soft Skill,140,10,121,19,Leadership|leadership|lead team|lãnh đạo nhóm|Lead team
documentation,Engineering Concepts & Methodologies,138,7,135,3,viết tài liệu|documentation|Viết tài liệu kỹ thuật|viết tài liệu kỹ thuật|Viết tài liệu
backend development,Domain Knowledge,138,33,124,14,lập trình Backend|backend|lập trình backend|Backend|back-end development
database,Database,135,22,119,16,databases|Databases|CSDL|Database|DB
jenkins,Infrastructure & DevOps,134,4,100,34,Jenkins|Jenkin|jenkins|JenKins
spring,Framework / Library,131,12,119,12,Spring Security|Spring|Spring Framework|Spring MVC|Spring security
presenting,Soft Skill,130,7,128,2,trình bày|kỹ năng trình bày|presentation|Presentation|presenting
c++,Programming Language,130,2,107,23,C++|C/C++
spring boot,Framework / Library,129,5,114,15,Spring Boot|Spring boot|spring boot|Spring boot 2.x+|Spring-boot
banking financial services,Domain Knowledge,128,46,61,67,financial services|banking/financial services|Financial Services|Banking /Fintech|Financial services
e commerce,Domain Knowledge,125,14,45,80,eCommerce|thương mại điện tử|E-commerce|Thương mại điện tử|sàn TMĐT
automation testing,Testing & QA,122,28,80,42,Automation Testing|automation testing|Automation testing|kiểm thử tự động|automated testing
finance,Domain Knowledge,121,5,47,74,tài chính|Tài chính|finance|Finance|sản phẩm tài chính
troubleshooting,Soft Skill,121,6,118,3,xử lý vấn đề|troubleshooting|xử lý sự cố|Xử lý sự cố|Troubleshooting
php,Programming Language,120,3,99,21,PHP|php|Php
angular,Framework / Library,119,7,85,34,Angular|Angular 2+|angular|Angular Material|Angular 12+
Programming Language Other,Programming Language,116,85,90,26,Groovy|Object-C|Object C|ES6+|VB.net
data structures,Engineering Concepts & Methodologies,111,21,109,2,cấu trúc dữ liệu và giải thuật|cấu trúc dữ liệu|data structures|Data Structures|Cấu trúc Dữ liệu
software testing methodologies,Testing & QA,108,21,101,7,kỹ thuật kiểm thử phần mềm|kiểm thử phần mềm|quy trình kiểm thử phần mềm|Kiểm thử phần mềm|software testing methodologies
testing,Testing & QA,106,9,93,13,testing|kiểm thử|software testing|test|Software Testing
confluence,Tool & Platform,104,1,81,23,Confluence
tiếng nhật,Soft Skill,103,3,69,34,Tiếng Nhật|tiếng Nhật|Tiếng nhật
sdlc,Engineering Concepts & Methodologies,100,9,91,9,SDLC|software development lifecycle (SDLC)|software development lifecycle|vòng đời phát triển sản phẩm phần mềm|Software Development Lifecycle (SDLC)
team management,Soft Skill,98,18,82,16,quản lý team|quản lý Team|Quản lý team|quản lý đội ngũ|quản lý nhóm
relational databases,Database,95,10,89,6,RDBMS|CSDL quan hệ|relational databases|Relational Databases|cơ sở dữ liệu quan hệ
gitlab ci,Infrastructure & DevOps,94,19,76,18,GitLab CI|gitlab-ci|Gitlab CI|Gitlab-CI|Azure AI
tcp ip,Infrastructure & DevOps,93,2,90,3,TCP/IP|TCP IP
automation,Tool & Platform,91,22,63,28,Automation|automation|automation programming|AI automation|AI Automation
power bi,Data Engineering & Analytics,91,4,67,24,Power BI|PowerBI|power BI|chứng chỉ Power BI
node js,Framework / Library,90,4,78,12,Node.js|Node.j|Node JS|Node.JS
negotiation,Soft Skill,90,9,89,1,"thương lượng, đàm phán|negotiation|đàm phán|Đàm phán|Negotiation"
ccna,Other,89,1,19,70,CCNA
llm,AI/ML/Data,88,9,65,23,LLMs|Large Language Models (LLMs)|LLM|LLM integrations|LLM fine-tuning
system design,Engineering Concepts & Methodologies,88,15,77,11,system design|thiết kế hệ thống|System design|System Design|thiết kế của hệ thống
rabbitmq,Infrastructure & DevOps,88,4,57,31,RabbitMQ|Rabbitmq|rabbitmq|Rabbit MQ
containerization,Infrastructure & DevOps,87,12,63,24,containerization|containers|Container|container|Containerization
kotlin,Programming Language,87,3,73,14,Kotlin|KOTLIN|kotlin
ui ux,Design & UX,87,6,65,22,UI/UX|UX/UI|UI/UX Design|UI/UX design|UI-UX
postman,Testing & QA,86,3,73,13,Postman|postman|PostMan
pytorch,AI/ML/Data,86,3,77,9,Pytorch|PyTorch|pytorch
firewall,Infrastructure & DevOps,85,6,76,9,Firewall|firewall|firewalls|Firewall Fortigate|Firewalls
tensorflow,AI/ML/Data,85,5,79,6,Tensorflow|TensorFlow|tensorflow|Tensorflow Serving|TensorFlow Serving
crm,Domain Knowledge,84,1,27,57,CRM
unit test,Testing & QA,83,9,73,10,Unit Test|unit testing|Unit test|unit testing frameworks|unit test
fintech,Domain Knowledge,83,3,30,53,fintech|Fintech|FinTech
terraform,Infrastructure & DevOps,82,4,62,20,Terraform|Terragrunt|terraform|Terraform Associate
data warehouse,Data Engineering & Analytics,82,11,57,25,Data Warehouse|data warehouse|data warehousing|DWH|Data warehouse
api testing,Testing & QA,81,12,64,17,API testing tools|test API|kiểm thử API|kiểm thử tích hợp API|API testing
windows,Tool & Platform,81,2,77,4,Windows|windows
waterfall,Engineering Concepts & Methodologies,80,3,76,4,Waterfall|waterfall|Waterfall model
ms office,Tool & Platform,80,10,73,7,Microsoft 365|Microsoft Office|MS Office|Microsoft Office 365|office software
langchain,Framework / Library,79,3,57,22,LangChain|LangGraph|Langchain
nodejs,Framework / Library,79,5,62,17,NodeJS|NODEJS|Nodejs|NodeJs|nodejs
performance optimization,Engineering Concepts & Methodologies,78,9,60,18,performance tuning|performance optimization|Performance tuning|Performance Optimization|Performance optimization
github copilot,Tool & Platform,78,10,57,21,Copilot|GitHub Copilot|AI-assisted development tools|github copilot|AI coding tools
it support,IT Support & Hardware,77,10,67,10,IT Helpdesk|IT Support|hỗ trợ người dùng|IT support|Helpdesk
grafana,Infrastructure & DevOps,76,1,56,20,Grafana
c,Programming Language,76,1,64,12,C
next js,Framework / Library,76,8,61,15,NextJS|Next.js|Next js|NextJs|Nextjs
critical thinking,Soft Skill,75,11,75,0,phản biện|tư duy phản biện|Critical thinking|Tư duy phản biện|critical thinking
information technology,Domain Knowledge,75,9,58,17,IT|CNTT|Information Technology|Công nghệ thông tin|công nghệ thông tin
test case,Testing & QA,74,19,70,4,test case|testcase|Test Case|Test case|Viết testcase
mobile app,Domain Knowledge,74,34,44,30,lập trình mobile|lập trình Mobile|mobile app|Mobile App|phát triển ứng dụng mobile
json,Other,74,1,74,0,JSON
quản lý công việc,Soft Skill,73,10,69,4,Quản lý công việc|quản lý công việc|tổ chức công việc|quản trị công việc|quản lý nhiều công việc
github,Tool & Platform,73,6,61,12,GitHub|GitFlow|GITHUB|Github|github
pmp,Other,72,1,5,67,PMP
windows server,Tool & Platform,72,10,62,10,Windows Server|Windows Server 2016|Window Server|Windows Server administration|windows server
programming,Programming Language,72,10,56,16,lập trình|Lập trình|lập trình hàm|programming language|programming
debugging,Engineering Concepts & Methodologies,71,6,70,1,debug|Debug|debugging|Debugging|issue debugging
optimize performance,Engineering Concepts & Methodologies,71,19,63,8,Tối ưu hiệu năng|tối ưu hiệu năng hệ thống|tối ưu hiệu năng|tối ưu hệ thống|Optimize performance
cloud computing,Infrastructure & DevOps,71,34,48,23,Cloud Data Platform|cloud engineering|công nghệ cloud|cloud computing|điện toán đám mây
big data,Data Engineering & Analytics,70,16,45,25,xử lý dữ liệu lớn|Big Data|big data|BigData|Bigdata
distributed systems,Engineering Concepts & Methodologies,70,13,57,13,distributed systems|kiến trúc hệ thống phân tán|Distributed system|hệ thống phân tán|Distributed Systems
product mindset,Soft Skill,70,15,64,6,tư duy sản phẩm|Tư duy Sản phẩm|Tư duy sản phẩm|tư duy phát triển sản phẩm|tư duy xây dựng sản phẩm
computer vision,AI/ML/Data,69,9,57,12,xử lý hình ảnh|Computer Vision|xử lý ảnh|Image Processing|Video Processing
vue js,Framework / Library,69,6,47,22,Vue|Vue.js|Vue JS|Vue.Js|NuxtJS
prometheus,Infrastructure & DevOps,69,2,51,18,Prometheus|Promethues
elasticsearch,Database,69,6,50,19,Elasticsearch|Elastic Search|ElasticSearch|Elastic search|AWS Elasticache
object oriented programming,Engineering Concepts & Methodologies,68,15,67,1,lập trình hướng đối tượng|Object Oriented Programming|object-oriented programming|Object-Oriented Programming (OOP)|lập trình hướng đối tượng (OOP)
clean code,Engineering Concepts & Methodologies,68,13,61,7,Clean Code|Clean code|code sạch|viết mã sạch|clean code
word,Tool & Platform,68,5,66,2,Word|word|Ms. Word|MS. Word|MS Word
solid,Engineering Concepts & Methodologies,67,4,64,3,SOLID|SOLID principles|Solid|SOLID Principles
firebase,Infrastructure & DevOps,67,4,46,21,FIREBASE|Firebase|firebase|Firebase Auth
algorithms,Engineering Concepts & Methodologies,67,9,65,2,thuật toán|giải thuật|algorithms|Algorithms|Thuật toán
github actions,Infrastructure & DevOps,67,5,52,15,GitHub Actions|Github Action|Github Actions|Github action|GitHub Action
android,Tool & Platform,66,4,57,9,Android SDK|Android|AndroidX|android
stakeholder management,Soft Skill,66,11,65,1,stakeholder management|quản lý stakeholder|Stakeholder Management|Stakeholder management|làm việc với stakeholder
bash,Programming Language,66,6,51,15,Bash|Bash Script|bash script|Bash script|bash
etl,Data Engineering & Analytics,66,8,51,15,ETL|ETL tools|ETL/ELT|ETL processes|ETL/ELT pipelines
react native,Framework / Library,65,7,44,21,React Native|React native|ReactNative|REACT NATIVE|react native
mentoring,Soft Skill,65,9,54,11,mentoring|coaching|Mentoring|Coaching|Training/Mentor
data modeling,Data Engineering & Analytics,65,16,60,5,Data Modeling|data modeling|Data modeling|mô hình dữ liệu|modeling dữ liệu
selenium,Testing & QA,64,4,46,18,Selenium|Selenium WebDriver|selenium|Selenium Webdriver
golang,Programming Language,64,3,49,15,Golang|GoLang|golang
requirement analysis,Engineering Concepts & Methodologies,64,14,62,2,phân tích yêu cầu|requirements gathering|Quản lý yêu cầu|phân tích yêu cầu phần mềm|analyze requirements
flutter,Framework / Library,64,5,40,24,Flutter|Flutter SDK|FLUTTER|Flutter 3.0|flutter
frontend development,Domain Knowledge,63,18,51,12,lập trình Frontend|lập trình Front-End|Frontend|front-end development|frontend
rag,AI/ML/Data,62,3,50,12,RAG|RAG pipelines|Retrieval-Augmented Generation (RAG)
tích hợp hệ thống,Engineering Concepts & Methodologies,62,10,42,20,hệ thống tích hợp|System integration|system integration|tích hợp hệ thống|Tích hợp hệ thống
powerpoint,Tool & Platform,62,4,61,1,PowerPoint|Powerpoint|Power Point|powerpoint
basic design,Design & UX,61,23,46,15,thiết kế kỹ thuật|công cụ thiết kế|thiết kế UX/UI|Basic Design|basic design
vmware,Infrastructure & DevOps,61,5,42,19,Vmware|VMware|VMWare|vmware|VMWARE
tableau,Data Engineering & Analytics,60,2,44,16,Tableau|BI Tableau
performance testing,Testing & QA,60,15,33,27,Performance Testing|performance testing|kiểm thử hiệu năng|Performance testing|performance testing metrics
query optimization,Engineering Concepts & Methodologies,60,9,59,1,query optimization|Tối ưu query|tối ưu query|tối ưu truy vấn|query tuning
websocket,Engineering Concepts & Methodologies,60,7,49,11,WebSocket|WebSockets|Web socket|Websocket|web socket
dns,Infrastructure & DevOps,60,1,54,6,DNS
japanese,Soft Skill,60,4,35,25,Japanese|Japanese language|JLPT N3|JLPT N2
code review,Engineering Concepts & Methodologies,59,8,52,7,review code|code review|review mã nguồn|Code review|review code/source code
swift,Programming Language,59,2,47,12,Swift|SWIFT
wireframe,Design & UX,58,11,56,2,wireframes|thiết kế wireframe|wireframe|Wireframing|Wireframe
ccnp,Other,58,1,10,48,CCNP
spark,Data Engineering & Analytics,58,3,47,11,Spark|Apache Spark|spark
photoshop,Tool & Platform,58,5,48,10,Photoshop|photoshop|Adobe Photoshop|Photoshop AI|Adobe Ai/Photoshop
ansible,Infrastructure & DevOps,58,1,44,14,Ansible
ai testing,Testing & QA,57,27,51,6,quy trình kiểm thử|quy trình Kiểm thử|AI Testing|phương pháp kiểm thử|chứng chỉ Tester
managing,Soft Skill,57,15,46,11,quản lý|managing|Quản lý|quản lý bộ phận|quản lý về IT
unity,Tool & Platform,55,1,36,19,Unity
natural language processing,AI/ML/Data,55,4,42,13,NLP|Natural Language Processing (NLP)|NLP - Xử lý ngôn ngữ tự nhiên|natural language processing
mvvm,Engineering Concepts & Methodologies,55,1,54,1,MVVM
risk management,Soft Skill,54,8,51,3,risk control|risk management|quản trị rủi ro|quản lý rủi ro|Risk Management
uml,Engineering Concepts & Methodologies,54,1,49,5,UML
hardware,IT Support & Hardware,54,8,51,3,phần cứng|phần cứng máy tính|Phần cứng|Phần cứng máy tính|hardware
report writing,Soft Skill,54,12,52,2,reporting|báo cáo|viết báo cáo|Lập báo cáo|lập báo cáo
system architecture,Engineering Concepts & Methodologies,53,15,48,5,system architecture|software architecture|kiến trúc hệ thống|application architecture|Architecture of software solutions
jwt,Engineering Concepts & Methodologies,52,1,44,8,JWT
prompt engineering,AI/ML/Data,52,5,47,5,prompt engineering|Prompt Engineering|Prompting|prompting|Prompt engineering
saas,Domain Knowledge,52,2,18,34,SaaS|Saas
infrastructure as code,Infrastructure & DevOps,52,8,39,13,IaC|Infrastructure as Code|infrastructure-as-code|Infrastructure as Code (IaC)|hạ tầng dưới dạng mã
scrum master,Other,51,5,13,38,PSM|CSM|Scrum Master|Certified Scrum Master|ScrumMaster
laravel,Framework / Library,50,1,44,6,Laravel
nestjs,Framework / Library,50,4,40,10,NestJS|Nestjs|nestjs|NESTJS
ai agent,AI/ML/Data,50,16,31,19,AI agents|Agentic AI|AI Agent|AI agent|AI Agent framework
elk,Infrastructure & DevOps,50,5,33,17,ELK|EFK/ELK Stack|ELK stack|ELK Stack|ELK/EFK stack
iso 27001,Other,50,8,26,24,ISO 27001|ISO 26262|ISO/IEC 27001|ISO 27001 LA/LI|ISO 27701
vector database,Database,50,7,36,14,vector databases|Vector Databases|Vector Database|vector database|vector DB
ai tools,Tool & Platform,50,6,31,19,AI tools|tool AI|AI/ML tools|AI-assisted tools|AI‑assisted tools
user story,Engineering Concepts & Methodologies,50,10,47,3,user stories|User Stories|user story|User Story|user story writing
test plan,Testing & QA,49,14,47,2,thiết kế test plan|viết Test Plan|Test Planning|test planning|test plans
monitoring,Infrastructure & DevOps,49,6,45,4,monitoring|Monitoring|Monitoring system|Percona Monitoring|SOC Monitoring
office,Tool & Platform,49,4,46,3,tin học văn phòng|công cụ Office|Office|Tin học văn phòng
mcsa,Other,49,1,8,41,MCSA
state management,Engineering Concepts & Methodologies,49,6,49,0,State management|state management|State Management|quản lý state|quản lý trạng thái
fullstack development,Domain Knowledge,49,15,37,12,Full-stack development|Fullstack Developer|Fullstack|full-stack|fullstack
research,Soft Skill,48,9,45,3,nghiên cứu|research|nghiên cứu chuyên sâu|khả năng nghiên cứu|Research
gitlab,Tool & Platform,48,3,43,5,GitLab|Gitlab|gitlab
clean architecture,Engineering Concepts & Methodologies,47,3,43,4,Clean Architecture|clean architecture|Clean-Architecture
vuejs,Framework / Library,47,5,37,10,VueJS|Vuejs|VueJs|vuejs|Vuetify
cloudformation,Infrastructure & DevOps,47,22,31,16,Chứng chỉ Cloud|chứng chỉ Cloud|Cloud Hadoop|CloudFormation|AWS CloudFormation
information security,Infrastructure & DevOps,46,14,39,7,Information Security|ATTT|an ninh mạng|information security|An ninh mạng
load balancing,Infrastructure & DevOps,46,9,38,8,load balancers|Load balancing|Load Balancing|cân bằng tải|load balancing
fastapi,Framework / Library,46,1,34,12,FastAPI
testing concepts,Testing & QA,45,23,42,3,testing concepts|công cụ test|kỹ thuật test|testing methodologies|test methodology
message queue,Infrastructure & DevOps,44,8,31,13,message queue|Message Queue|Message QUEUE|message queues|Message Queues
trello,Tool & Platform,44,1,37,7,Trello
linux unix,Tool & Platform,44,12,37,7,vận hành hệ thống Linux|Unix|UNIX|Linux/Unix|Linux/UNIX
redux,Framework / Library,43,1,34,9,Redux
data engineering,Data Engineering & Analytics,43,9,36,7,Data Engineering|data engineering|Data engieering|Data Engineer|Data engineer
software,Domain Knowledge,43,15,29,14,phần mềm|Phần mềm|phần mềm MES|phần mềm máy tính|lập trình phần mềm
multithreading,Engineering Concepts & Methodologies,43,14,38,5,xử lý đa luồng|Multi-threading|Multi Thread|Multithreading|multi-thread
mvc,Engineering Concepts & Methodologies,43,1,38,5,MVC
iot,Domain Knowledge,43,2,22,21,IoT|IOT
chatgpt,Tool & Platform,43,3,36,7,ChatGPT|ChatGPT APIs|ChatOps
go,Programming Language,42,2,31,11,Go|go
visio,Tool & Platform,42,2,39,3,Visio|visio
oauth2,Engineering Concepts & Methodologies,42,4,33,9,OAuth2|OAuth 2.0|OAuth2.1/OIDC|Oauth2
manual testing,Testing & QA,42,11,40,2,Manual Test|Manual Testing|manual testing|tester manual|manual test
database design,Engineering Concepts & Methodologies,42,17,39,3,"phân tích, thiết kế hệ thống cơ sở dữ liệu|Database Design|Database design|Thiết kế database|thiết kế database"
asp net core,Framework / Library,41,6,38,3,ASP.NET|ASP.NET Core|ASP.NET MVC|ASP .NET|ASP.NET Core Web API
mlops,Infrastructure & DevOps,41,2,19,22,MLOps|MLops
caching,Engineering Concepts & Methodologies,41,3,35,6,caching|Caching|Caching strategies
integration testing,Testing & QA,41,8,39,2,Integration Test|Integration test|integration tests|integration testing|integration test
portfolio,Design & UX,41,3,34,7,portfolio|Portfolio|quản lý portfolio
prototype,Design & UX,40,8,37,3,Prototype|prototype|Prototyping|prototyping|prototypes
switching,Infrastructure & DevOps,40,7,40,0,Switching|Switch|switch|switching|cấu hình switch
logistics,Domain Knowledge,40,10,18,22,logistics|Logistics|kho vận|Kho vận|Logistics Vận tải
virtualization,Infrastructure & DevOps,40,6,32,8,ảo hóa|Virtualization|Ảo hóa|virtualization|hệ thống ảo hóa
scikit learn,AI/ML/Data,39,3,39,0,Scikit-learn|scikit-learn|Scikit-Learn
jquery,Framework / Library,39,4,33,6,jQuery|Jquery|JQuery|jquery
routing,Infrastructure & DevOps,39,3,38,1,Routing|Routing Protocol|routing
dhcp,Infrastructure & DevOps,39,1,35,4,DHCP
illustrator,Tool & Platform,39,4,34,5,Illustrator|illustrator|Adobe Illustrator|Adobe illustrator
draw io,Tool & Platform,39,2,31,8,Draw.io|draw.io
shell script,Programming Language,39,14,28,11,Shell script|Shell-script|Shell Script|shell script|Shell
hibernate,Framework / Library,39,5,34,5,Hibernate|Hibernate Framework|Hibernate/JPA|JPA/Hibernate|hibernates
bootstrap,Framework / Library,38,5,31,7,Bootstrap|bootstrap|Bootstrap Responsive|Bootstrap 5|BootstrapVue
đào tạo,Soft Skill,38,2,31,7,đào tạo|Đào tạo
airflow,Data Engineering & Analytics,38,2,26,12,Airflow|Apache Airflow
data processing,Data Engineering & Analytics,38,11,35,3,xử lý dữ liệu|dữ liệu|data processing|Data Processing|xử lý dữ liệu phân tán
svn,Tool & Platform,38,1,34,4,SVN
ceh,Other,38,1,5,33,CEH
api design,Engineering Concepts & Methodologies,38,6,36,2,phân tích và thiết kế API|API design|thiết kế API|Thiết kế API|API Design
vpn,Infrastructure & DevOps,38,1,37,1,VPN
phối hợp,Soft Skill,38,7,37,1,phối hợp|Phối hợp|Tích hợp|tích hợp|điều phối
data pipelines,Data Engineering & Analytics,38,12,27,11,Pipeline xử lý dữ liệu lớn|data pipeline|Data Pipeline|big data pipelines|data pipelines
cisco,Infrastructure & DevOps,38,1,33,5,Cisco
playwright,Testing & QA,38,1,26,12,Playwright
responsive design,Design & UX,37,9,35,2,Responsive Design|responsive design|web responsiveness|Responsive|website responsive
deep learning,AI/ML/Data,36,6,33,3,Deep Learning|deep learning|Deep learning|Deep Learning Deployment|deep learning framework
system administration,Infrastructure & DevOps,36,9,33,3,quản trị hệ thống|System Administration|system administration|quản lý hệ thống|Quản trị hệ thống
grpc,Engineering Concepts & Methodologies,36,2,31,5,gRPC|grpc
azure devops,Infrastructure & DevOps,35,3,27,8,Azure Devops|Azure DevOps|Azure AD
fortinet,Infrastructure & DevOps,35,4,23,12,Fortinet|FortiNAC|FortiPAM|Fortinet NSE
event driven architecture,Engineering Concepts & Methodologies,35,10,25,10,event-driven programming|Event-driven programming|event-driven architecture|Event-Driven Architecture|Event-driven architecture
xml,Other,35,1,29,6,XML
graphql,Engineering Concepts & Methodologies,35,1,22,13,GraphQL
openai api,Engineering Concepts & Methodologies,34,12,25,9,tích hợp API|Tích hợp API|Revit API|OpenAI API|mock API
user interface,Design & UX,34,4,29,5,UI|thiết kế giao diện|Ui|user interface design
backup,Infrastructure & DevOps,34,7,32,2,Backup|backup solutions|backup|sao lưu dữ liệu|backup/restore
bpmn,Engineering Concepts & Methodologies,34,1,31,3,BPMN
siem,Tool & Platform,34,1,28,6,SIEM
